,ticker,score,c_trend,c_rsi,c_atr,c_rvol,c_rs,c_pattern,c_obv,c_rr,price,rsi,atr_pct,rvol,trend_count,rs_avg_pct,obv_slope,adx,pattern,pattern_score,valid,entry,stop,target,risk_per_share,rr,shares,position_value,dollar_risk,risk_pct
120,ES,48.1,1.0,0.1,0.34,0.0,1.0,0.0,1.0,0.0,74.97,80.4,2.52,0.2,5,10.7,0.24,40.5,none,0.0,True,74.97,73.08,78.75,1.89,2.0,5,374.85,11.0,2.52
121,MRNA,48.0,1.0,0.1,0.331,0.0,1.0,0.0,1.0,0.0,51.34,86.6,6.51,0.32,5,72.48,42.61,24.2,none,0.0,True,51.34,48.0,58.02,3.34,2.0,3,154.02,11.0,6.51
122,WMB,47.7,1.0,0.1,0.294,0.0,1.0,0.0,1.0,0.0,74.99,91.1,2.38,0.43,5,20.14,58.83,64.8,none,0.0,True,74.99,73.2,78.56,1.79,2.0,6,449.94,11.0,2.38
123,TXN,47.6,0.8,0.1,0.572,0.0,1.0,0.333,0.0,0.0,212.23,34.7,3.22,0.25,4,10.89,-6.15,44.0,squeeze,0.333,True,212.23,205.4,225.88,6.82,2.0,1,212.23,11.0,3.22
124,DOW,47.6,0.8,0.47,0.949,0.0,1.0,0.0,0.0,0.0,29.45,44.1,4.65,0.29,4,15.9,-30.73,26.9,none,0.0,False,29.45,28.08,32.19,1.37,2.0,8,235.6,11.0,4.65
125,CIEN,47.6,1.0,0.1,0.282,0.0,1.0,0.0,1.0,0.0,336.86,80.9,6.65,0.59,5,93.01,11.23,37.0,none,0.0,False,336.86,314.45,381.68,22.41,2.0,0,0.0,11.0,6.65
126,PCG,47.4,1.0,0.1,0.26,0.0,1.0,0.0,1.0,0.0,18.66,88.9,2.28,0.33,5,19.43,25.3,72.2,none,0.0,True,18.66,18.23,19.51,0.43,2.0,25,466.5,11.0,2.28
127,AEP,47.0,1.0,0.1,0.211,0.0,1.0,0.0,1.0,0.0,131.87,80.6,2.13,0.36,5,11.22,30.37,67.3,none,0.0,False,131.87,129.06,137.5,2.81,2.0,3,395.61,11.0,2.13
128,TEL,46.8,0.8,0.614,0.676,0.0,1.0,0.0,0.0,0.0,235.62,71.6,3.53,0.5,4,6.15,-0.86,25.1,none,0.0,True,235.62,227.31,252.24,8.31,2.0,1,235.62,11.0,3.53
129,XEL,46.6,1.0,0.1,0.173,0.0,1.0,0.0,1.0,0.0,83.62,80.0,2.02,0.28,5,7.55,13.08,35.6,none,0.0,True,83.62,81.93,87.0,1.69,2.0,6,501.72,11.0,2.02
130,CHRW,46.5,0.8,0.1,0.66,0.0,1.0,0.0,1.0,0.0,179.62,38.5,5.52,0.2,4,15.36,39.23,47.8,none,0.0,True,179.62,169.7,199.45,9.91,2.0,1,179.62,11.0,5.52
131,SYY,46.4,1.0,0.559,0.193,0.0,1.0,0.0,0.0,0.0,89.44,73.2,2.08,0.16,5,9.3,-1.51,76.6,none,0.0,True,89.44,87.58,93.16,1.86,2.0,5,447.2,11.0,2.08
132,LYV,46.4,0.8,0.508,0.767,0.0,1.0,0.0,0.0,0.0,157.8,74.8,3.8,0.2,4,6.29,-9.39,33.5,none,0.0,False,157.8,151.8,169.8,6.0,2.0,1,157.8,11.0,3.8
